Time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,Magnet_21_x,Magnet_21_y,Magnet_21_z,Magnet_22_x,Magnet_22_y,Magnet_22_z,Magnet_23_x,Magnet_23_y,Magnet_23_z,Magnet_24_x,Magnet_24_y,Magnet_24_z,Magnet_28_x,Magnet_28_y,Magnet_28_z,Magnet_29_x,Magnet_29_y,Magnet_29_z,Magnet_30_x,Magnet_30_y,Magnet_30_z,Magnet_31_x,Magnet_31_y,Magnet_31_z,Magnet_32_x,Magnet_32_y,Magnet_32_z,out_x,out_y,out_z,
0.2424,0.0615858,-0.997952,0.0172882,-0.0799483,-0.996258,0.0328344,0.0636746,0.99742,-0.0331529,-0.374964,0.900696,-0.219427,0.33724,0.925135,-0.174339,-0.51883,0.847402,0.112802,0.15033,0.984491,-0.0904366,0.472064,0.866828,-0.160516,0.361111,0.928457,-0.086982,0.769318,0.589711,0.245748,0.998251,-0.0501645,-0.0312884,0.997929,0.0632125,-0.0118974,0.999199,0.0382745,-0.0116937,
0.2525,0.0362656,-0.998994,0.0263738,-0.0919076,-0.995765,-0.00218088,0.0190828,0.998912,-0.0425515,-0.509377,0.8569,-0.0791064,0.15125,0.973068,-0.173957,-0.337152,0.905862,0.256403,0.0573503,0.995711,-0.0725919,0.294047,0.9344,-0.201081,0.275255,0.957519,-0.0859767,0.879584,0.424993,0.213807,0.999535,-0.015407,-0.0263287,0.997983,0.0622566,0.0124203,0.999128,0.0413308,0.00595221,
0.2626,0.00495266,-0.999627,0.0268624,-0.0692654,-0.997208,-0.0279008,-0.0279013,0.998838,-0.0392843,-0.508901,0.85803,0.0693117,-0.0217928,0.989688,-0.141574,-0.0339755,0.942243,0.333203,-0.0110743,0.998932,-0.0448478,0.0833612,0.974426,-0.208676,0.193409,0.978369,-0.0733933,0.944561,0.267805,0.18996,0.999875,0.00671415,-0.0143408,0.99912,0.0305053,0.028802,0.999585,0.0217939,0.0188176,
0.2727,-0.0226504,-0.999553,0.0194883,-0.0271186,-0.998881,-0.0387481,-0.0640188,0.99762,-0.0256287,-0.378139,0.903546,0.201535,-0.145873,0.985556,-0.0860228,0.296453,0.901841,0.314324,-0.045293,0.998899,-0.0122484,-0.11558,0.977476,-0.176585,0.127856,0.990355,-0.0533757,0.976692,0.116192,0.180477,0.999943,0.0105936,-0.00124688,0.999469,-0.0139187,0.0294754,0.999754,-0.00812817,0.020643,
0.2828,-0.0390839,-0.999209,0.00733908,0.0166611,-0.999253,-0.03486,-0.0805872,0.996726,-0.0064834,-0.132703,0.948337,0.288178,-0.201924,0.979176,-0.0210178,0.544664,0.809992,0.21738,-0.0420456,0.998916,0.01996,-0.258882,0.959443,-0.111576,0.0866891,0.995784,-0.0299844,0.981324,-0.0391748,0.18833,0.999973,-0.000836809,0.0072706,0.998751,-0.047642,0.0150467,0.999426,-0.0318884,0.0114187,
0.2929,-0.0411443,-0.999139,-0.00535314,0.0477062,-0.998638,-0.0211452,-0.0752452,0.997089,0.0123274,0.167022,0.939177,0.300084,-0.187891,0.98135,0.0406205,0.669344,0.737954,0.0860377,-0.00439696,0.998909,0.0465014,-0.322348,0.946188,-0.0286438,0.0732118,0.997293,-0.00687261,0.953943,-0.209647,0.21457,0.999792,-0.0186668,0.0081835,0.998513,-0.0541344,-0.00644321,0.99929,-0.037533,-0.00316861,
0.303,-0.0302605,-0.999433,-0.0147468,0.0594346,-0.99822,-0.00487107,-0.0518437,0.998326,0.0256309,0.427188,0.872552,0.23699,-0.113164,0.989594,0.0888658,0.679865,0.731673,-0.0493736,0.0585855,0.996299,0.0629046,-0.300166,0.952184,0.0569795,0.0860247,0.996216,0.0123519,0.8787,-0.402429,0.256782,0.999463,-0.0327048,0.001932,0.999218,-0.031378,-0.0240571,0.99961,-0.0234463,-0.0151722,
0.3131,-0.0114796,-0.999763,-0.0184883,0.0538872,-0.998521,0.00717118,-0.0189248,0.999363,0.0302453,0.587881,0.798498,0.129607,0.0040858,0.99313,0.116945,0.583996,0.793308,-0.172081,0.133442,0.988792,0.0669572,-0.197279,0.97157,0.130889,0.118963,0.99261,0.0239531,0.731443,-0.610255,0.30427,0.999325,-0.0357815,-0.00832708,0.999528,0.00827476,-0.0295728,0.999824,0.00174482,-0.0186647,
0.3232,0.0084253,-0.999834,-0.0161427,0.0394682,-0.999161,0.0109274,0.0130668,0.999581,0.0258416,0.642092,0.766573,0.00914273,0.138976,0.982688,0.122518,0.382734,0.886564,-0.259845,0.20574,0.976797,0.0594882,-0.0317608,0.98355,0.177824,0.16101,0.986645,0.0246382,0.497996,-0.800659,0.333084,0.999497,-0.0258824,-0.0183305,0.998751,0.0452272,-0.0212376,0.999621,0.0244727,-0.0125714,
0.3333,0.0231939,-0.999689,-0.00911609,0.026823,-0.999621,0.0061592,0.0352049,0.999269,0.0148794,0.598712,0.793901,-0.106134,0.265772,0.957938,0.108264,0.108647,0.953591,-0.28082,0.263899,0.963553,0.043855,0.159489,0.969562,0.185778,0.197478,0.980219,0.01316,0.208422,-0.926727,0.31263,0.999687,-0.00574786,-0.024357,0.998024,0.0627131,-0.00398588,0.999436,0.0335611,-0.000745207,
0.3434,0.0289793,-0.99958,-0.000121308,0.0243951,-0.999695,-0.00393018,0.0427463,0.999085,0.00146627,0.461003,0.864407,-0.200691,0.365274,0.927443,0.0801558,-0.152481,0.963629,-0.219475,0.301536,0.953135,0.0246706,0.330261,0.931216,0.154156,0.213947,0.976815,-0.00763072,-0.0562063,-0.971602,0.229849,0.999523,0.0190247,-0.0243451,0.998424,0.0544594,0.0135709,0.999617,0.025613,0.0104481,
0.3535,0.0252898,-0.99965,0.00774486,0.0352737,-0.999276,-0.0142455,0.0358901,0.999303,-0.0102678,0.242186,0.937002,-0.25174,0.427941,0.902701,0.0446946,-0.312761,0.944784,-0.0977934,0.317723,0.948162,0.00643968,0.446503,0.889808,0.0942148,0.201935,0.978924,-0.0304872,-0.217105,-0.970735,0.102659,0.998951,0.0419876,-0.0182729,0.999373,0.0264683,0.0235113,0.999862,0.00596603,0.0155127,
0.3636,0.0147303,-0.999819,0.0120484,0.0563228,-0.998215,-0.0198708,0.0187852,0.999672,-0.0174052,-0.00721891,0.971271,-0.237868,0.451792,0.892093,0.00734903,-0.334049,0.941545,0.043625,0.315786,0.9488,-0.00753909,0.494879,0.868715,0.0206995,0.162823,0.985573,-0.0462011,-0.241624,-0.969672,-0.0367879,0.998316,0.0574869,-0.00782323,0.999732,-0.00692763,0.0220812,0.999815,-0.0146896,0.0124244,
0.3737,0.00178224,-0.999929,0.0117925,0.0797344,-0.996654,-0.0179788,-0.00232797,0.99982,-0.0188083,-0.210201,0.964407,-0.160418,0.438855,0.898134,-0.0275751,-0.21895,0.961425,0.166501,0.301493,0.953338,-0.015788,0.474379,0.878675,-0.0537975,0.108322,0.993002,-0.0470461,-0.134585,-0.978114,-0.158679,0.998075,0.0618644,0.00439949,0.999483,-0.0302361,0.010928,0.999657,-0.025985,0.00333144,
0.3838,-0.00885725,-0.999932,0.00759288,0.0963629,-0.995307,-0.0088695,-0.0212127,0.999661,-0.0151221,-0.310366,0.949542,-0.0451909,0.393274,0.917683,-0.0565101,-0.0014084,0.971611,0.23658,0.281095,0.959498,-0.0186916,0.388741,0.91381,-0.117609,0.0574665,0.997896,-0.0300305,0.0724324,-0.968556,-0.23802,0.998422,0.053934,0.0156429,0.999419,-0.0338473,-0.00409593,0.999713,-0.0229474,-0.00680904,
0.3939,-0.0138319,-0.999904,0.00128189,0.0993976,-0.995038,0.00431465,-0.0333967,0.999408,-0.0082462,-0.290032,0.954001,0.0759225,0.321636,0.943789,-0.0762366,0.246534,0.940614,0.233382,0.259621,0.965542,-0.0180355,0.249727,0.955398,-0.157641,0.0299647,0.999551,0.000885832,0.319405,-0.911082,-0.260595,0.999112,0.035013,0.0234441,0.999714,-0.0178779,-0.0158679,0.999885,-0.00805899,-0.0128674,
0.404,-0.0121115,-0.999915,-0.00479135,0.0868449,-0.996077,0.0169795,-0.0370159,0.999315,-0.000512145,-0.158098,0.972048,0.173572,0.234293,0.968539,-0.0839001,0.444133,0.880392,0.166301,0.239813,0.970684,-0.0161974,0.0849302,0.983077,-0.162318,0.0379864,0.998642,0.0356598,0.539558,-0.809188,-0.232576,0.999624,0.0090828,0.0258862,0.999775,0.0086714,-0.019338,0.999872,0.0104837,-0.0120883,
0.4141,-0.00511473,-0.99995,-0.00854462,0.0620614,-0.997762,0.0248772,-0.0327045,0.999447,0.00599899,0.0499158,0.973814,0.221797,0.145635,0.986292,-0.0775811,0.548502,0.833606,0.0651608,0.222024,0.974924,-0.0151145,-0.0650255,0.989512,-0.128985,0.0811112,0.994731,0.0627068,0.696025,-0.696337,-0.175111,0.999604,-0.0174041,0.0221029,0.999368,0.0328001,-0.0137086,0.999716,0.0232177,-0.00529638,
0.4242,0.00400374,-0.999953,-0.00884905,0.0323795,-0.999148,0.0256008,-0.0229578,0.999688,0.00987098,0.270467,0.939875,0.208527,0.0720607,0.995755,-0.0572639,0.554158,0.831347,-0.0420787,0.205194,0.978601,-0.0153268,-0.163063,0.984345,-0.066902,0.147338,0.986307,0.074091,0.787937,-0.606197,-0.108075,0.999229,-0.0370863,0.0129,0.999034,0.0438744,-0.00242417,0.9997,0.0241821,0.00376319,
0.4343,0.0115907,-0.999916,-0.00587098,0.00641003,-0.999794,0.0192598,-0.0112209,0.999881,0.0106013,0.440812,0.885798,0.145074,0.0282792,0.999271,-0.0256276,0.467724,0.873665,-0.133955,0.188588,0.981932,-0.0156176,-0.189009,0.981944,0.00781634,0.218909,0.973369,0.0680594,0.829572,-0.556815,-0.0420307,0.999017,-0.0443233,0.000838777,0.999229,0.0382524,0.00885258,0.999853,0.0135926,0.0104854,
0.4444,0.0148081,-0.99989,-0.000904554,-0.00889013,-0.999927,0.00814969,-0.000804541,0.999962,0.0086407,0.530057,0.846128,0.0557424,0.0238563,0.999643,0.0120694,0.304873,0.933474,-0.18889,0.173478,0.984745,-0.0135413,-0.140354,0.987016,0.078099,0.279385,0.958962,0.048329,0.832928,-0.55303,0.0197087,0.999243,-0.0374467,-0.0105257,0.999683,0.0201643,0.0150761,0.999928,-0.00270897,0.0117195,
0.4545,0.012585,-0.999912,0.0041809,-0.0102052,-0.999939,-0.00431602,0.00607295,0.999969,0.00510697,0.534627,0.844242,-0.0378059,0.0611049,0.99693,0.0489584,0.106782,0.9764,-0.187722,0.163835,0.986465,-0.00665698,-0.029738,0.99127,0.12845,0.318292,0.947751,0.0214044,0.802122,-0.592252,0.0764115,0.99965,-0.0194413,-0.0179454,0.999901,-0.00106914,0.014024,0.999838,-0.0164841,0.00718754,
0.4646,0.00590065,-0.999954,0.0075994,0.00168446,-0.999888,-0.0148518,0.0086925,0.999961,0.00124875,0.460025,0.879914,-0.118862,0.134122,0.987901,0.0778669,-0.0613866,0.989815,-0.128442,0.165449,0.9862,0.00601705,0.115584,0.982259,0.147675,0.3318,0.943329,-0.00630536,0.734746,-0.666491,0.126247,0.999801,0.0032635,-0.019694,0.999852,-0.0157683,0.00694552,0.999774,-0.0212382,-0.000593444,
0.4747,-0.00265719,-0.999963,0.00820457,0.0227913,-0.999515,-0.0212321,0.0075589,0.999969,-0.0020207,0.318675,0.932356,-0.170756,0.229228,0.968927,0.0929264,-0.143498,0.989124,-0.0322818,0.183608,0.982731,0.0229771,0.259508,0.956519,0.133146,0.32086,0.946644,-0.0302331,0.62723,-0.76136,0.164055,0.999597,0.0233624,-0.0161182,0.999831,-0.0182151,-0.00241547,0.999855,-0.0152051,-0.00772415,
0.4848,-0.00986565,-0.999934,0.00582942,0.0475665,-0.99861,-0.0227106,0.00378417,0.999984,-0.00427338,0.141454,0.973809,-0.178006,0.328048,0.940233,0.0913553,-0.118118,0.990669,0.0679918,0.220252,0.97461,0.0402956,0.370293,0.924381,0.0916718,0.289075,0.956108,-0.0478882,0.483556,-0.856319,0.181363,0.999328,0.0354492,-0.00927448,0.999915,-0.00867589,-0.00977033,0.999939,-0.00183937,-0.010881,
0.4949,-0.0130179,-0.999914,0.00133311,0.0706875,-0.997299,-0.0199473,-0.00145136,0.999984,-0.00545444,-0.0210706,0.990444,-0.136295,0.412916,0.907731,0.0743264,0.000541793,0.990013,0.140977,0.272078,0.960816,0.052967,0.429965,0.90217,0.0349125,0.241529,0.968653,-0.0580949,0.323252,-0.930903,0.170082,0.999287,0.0377146,-0.00187118,0.999897,0.00746494,-0.0122216,0.999887,0.0121944,-0.00883522,
0.505,-0.010861,-0.999934,-0.003693,0.0884403,-0.995976,-0.0145219,-0.00717241,0.999958,-0.00567068,-0.12008,0.991033,-0.0586051,0.471391,0.880724,0.0459975,0.168516,0.971708,0.165488,0.330836,0.941971,0.0569072,0.433022,0.901024,-0.0254599,0.184592,0.98097,-0.060195,0.179637,-0.975278,0.128695,0.999484,0.031896,0.00385758,0.999699,0.0226781,-0.00933102,0.999788,0.0203687,-0.0028608,
0.5151,-0.00402063,-0.999964,-0.00748924,0.0992788,-0.995026,-0.0082149,-0.0126001,0.999908,-0.00501902,-0.130078,0.991013,0.0312045,0.497212,0.867552,0.0115383,0.327825,0.934466,0.138942,0.385825,0.921193,0.0504174,0.381447,0.921021,-0.0788607,0.125997,0.990563,-0.0539499,0.0857944,-0.994163,0.0654127,0.999738,0.0218749,0.00675296,0.999522,0.0307848,-0.00298077,0.999806,0.0193,0.00404786,
